"Compensation","Name","Position","Date","Year","College"
556834,"Audrey Bilger ","President",2022-06-01,2022,"Reed College"
548014,"Audrey Bilger ","President",2021-06-01,2021,"Reed College"
304592,"Audrey Bilger ","President",2020-06-01,2020,"Reed College"
452864,"John R Kroger ","President",2018-06-01,2018,"Reed College"
433782,"John R Kroger ","President",2017-06-01,2017,"Reed College"
412750,"John R Kroger ","President",2016-06-01,2016,"Reed College"
394129,"John R Kroger ","President",2015-06-01,2015,"Reed College"
381690,"John R Kroger ","President",2014-06-01,2014,"Reed College"
512585,"Carmen Twillie Ambar ","President",2022-06-01,2022,"Oberlin College"
497528,"Carmen Twillie Ambar ","President",2021-06-01,2021,"Oberlin College"
480401,"Carmen Twillie Amber ","President",2020-06-01,2020,"Oberlin College"
472898,"Carmen Twillie Amber ","President",2019-06-01,2019,"Oberlin College"
1039875,"Marvin Krislov ","President",2018-06-01,2018,"Oberlin College"
177718,"Carmen Twillie Ambar ","President",2018-06-01,2018,"Oberlin College"
483903,"Marvin Krislov ","President",2017-06-01,2017,"Oberlin College"
803070,"Marvin Krislov ","President",2016-06-01,2016,"Oberlin College"
437246,"Marvin Krislov ","President",2015-06-01,2015,"Oberlin College"
418770,"Marvin Krislov ","President",2014-06-01,2014,"Oberlin College"
610183,"Jonathan Veitch ","President",2016-06-01,2016,"Occidental College"
585583,"Jonathan Veitch ","President",2015-06-01,2015,"Occidental College"
575784,"Jonathan Veitch ","President",2014-06-01,2014,"Occidental College"
590356,"Anne Harris ","President",2022-06-01,2022,"Grinnell College"
400025,"Anne Harris ","President",2021-06-01,2021,"Grinnell College"
1251425,"Raynard Kington ","President",2020-06-01,2020,"Grinnell College"
665462,"Raynard Kington ","President",2019-06-01,2019,"Grinnell College"
622844,"Raynard Kington ","President",2018-06-01,2018,"Grinnell College"
599879,"Raynard Kington ","President",2017-06-01,2017,"Grinnell College"
567097,"Raynard Kington ","President",2016-06-01,2016,"Grinnell College"
559915,"Raynard Kington ","President",2015-06-01,2015,"Grinnell College"
570950,"Raynard Kington ","President",2014-06-01,2014,"Grinnell College"
212292,"Edward Wingenbach ","President",2022-06-01,2022,"Hampshire College"
214100,"Edward Wingenbach ","President",2021-06-01,2021,"Hampshire College"
120458,"Edward Wingenbach ","President",2020-06-01,2020,"Hampshire College"
310005,"Jonathan Lash ","President",2018-06-01,2018,"Hampshire College"
533881,"Wiewel Marinus ","President",2022-05-01,2022,"Lewis & Clark College"
514530,"Wiewel Marinus ","President",2021-05-01,2021,"Lewis & Clark College"
540367,"Wiewel Marinus ","President",2020-05-01,2020,"Lewis & Clark College"
511324,"Wiewel Marinus ","President",2019-05-01,2019,"Lewis & Clark College"
432897,"Glassner Barry ","President",2017-05-01,2017,"Lewis & Clark College"
456681,"Barry Glassner ","President",2016-05-01,2016,"Lewis & Clark College"
929007,"Steven G Poskanzer ","President",2022-06-01,2022,"Carleton College"
309081,"Alison Byerly ","President",2022-06-01,2022,"Carleton College"
490860,"Steven G Poskanzer ","President",2021-06-01,2021,"Carleton College"
501366,"Steven G Poskanzer ","President",2020-06-01,2020,"Carleton College"
482057,"Steven G Poskanzer ","President",2019-06-01,2019,"Carleton College"
488635,"Steven G Poskanzer ","President",2018-06-01,2018,"Carleton College"
457873,"Steven G Poskanzer ","President",2017-06-01,2017,"Carleton College"
440255,"Steven G Poskanzer ","President",2016-06-01,2016,"Carleton College"
424494,"Steven G Poskanzer ","President",2015-06-01,2015,"Carleton College"
408202,"Steven G Poskanzer ","President",2014-06-01,2014,"Carleton College"
497750,"Kathleen Murray ","President",2022-06-01,2022,"Whitman College"
446835,"Kathleen Murray ","President",2021-06-01,2021,"Whitman College"
481000,"Kathleen Murray ","President",2020-06-01,2020,"Whitman College"
466982,"Kathleen Murray ","President",2019-06-01,2019,"Whitman College"
466718,"Kathleen Murray ","President",2018-06-01,2018,"Whitman College"
454542,"Kathleen Murray ","President",2017-06-01,2017,"Whitman College"
372596,"George S Bridges ","President",2015-06-01,2015,"Whitman College"
350921,"George S Bridges ","President",2014-06-01,2014,"Whitman College"
